GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US11451,11451,ZCTA5 11451,-
8600000US11501,11501,ZCTA5 11501,301465
8600000US11507,11507,ZCTA5 11507,112255
8600000US11509,11509,ZCTA5 11509,40295
8600000US11510,11510,ZCTA5 11510,602695
8600000US11514,11514,ZCTA5 11514,64840
8600000US11518,11518,ZCTA5 11518,175650
8600000US11520,11520,ZCTA5 11520,626100
8600000US11530,11530,ZCTA5 11530,453115
8600000US11542,11542,ZCTA5 11542,395370
8600000US11545,11545,ZCTA5 11545,207060
8600000US11547,11547,ZCTA5 11547,13400
8600000US11548,11548,ZCTA5 11548,32895
8600000US11549,11549,ZCTA5 11549,12890
8600000US11550,11550,ZCTA5 11550,890605
8600000US11552,11552,ZCTA5 11552,409715
8600000US11553,11553,ZCTA5 11553,359990
8600000US11554,11554,ZCTA5 11554,548100
8600000US11557,11557,ZCTA5 11557,112895
8600000US11559,11559,ZCTA5 11559,121450
8600000US11560,11560,ZCTA5 11560,86170
8600000US11561,11561,ZCTA5 11561,771400
8600000US11563,11563,ZCTA5 11563,402610
8600000US11565,11565,ZCTA5 11565,150360
8600000US11566,11566,ZCTA5 11566,620655
8600000US11568,11568,ZCTA5 11568,56210
8600000US11569,11569,ZCTA5 11569,22550
8600000US11570,11570,ZCTA5 11570,481660
8600000US11572,11572,ZCTA5 11572,484280
8600000US11576,11576,ZCTA5 11576,193440
8600000US11577,11577,ZCTA5 11577,219265
8600000US11579,11579,ZCTA5 11579,86280
8600000US11580,11580,ZCTA5 11580,899060
8600000US11581,11581,ZCTA5 11581,395165
8600000US11590,11590,ZCTA5 11590,709595
8600000US11596,11596,ZCTA5 11596,166715
8600000US11598,11598,ZCTA5 11598,235710
8600000US11691,11691,ZCTA5 11691,1133705
8600000US11692,11692,ZCTA5 11692,381980
8600000US11693,11693,ZCTA5 11693,300470
8600000US11694,11694,ZCTA5 11694,406735
8600000US11701,11701,ZCTA5 11701,413755
8600000US11702,11702,ZCTA5 11702,233935
8600000US11703,11703,ZCTA5 11703,222455
8600000US11704,11704,ZCTA5 11704,600055
8600000US11705,11705,ZCTA5 11705,103650
8600000US11706,11706,ZCTA5 11706,1015225
8600000US11709,11709,ZCTA5 11709,109035
8600000US11710,11710,ZCTA5 11710,560290
8600000US11714,11714,ZCTA5 11714,325835
8600000US11715,11715,ZCTA5 11715,72455
8600000US11717,11717,ZCTA5 11717,781570
8600000US11718,11718,ZCTA5 11718,49620
8600000US11719,11719,ZCTA5 11719,51130
8600000US11720,11720,ZCTA5 11720,431650
8600000US11721,11721,ZCTA5 11721,101860
8600000US11722,11722,ZCTA5 11722,473680
8600000US11724,11724,ZCTA5 11724,58140
8600000US11725,11725,ZCTA5 11725,449580
8600000US11726,11726,ZCTA5 11726,274345
8600000US11727,11727,ZCTA5 11727,535635
8600000US11729,11729,ZCTA5 11729,396590
8600000US11730,11730,ZCTA5 11730,211300
8600000US11731,11731,ZCTA5 11731,460070
8600000US11733,11733,ZCTA5 11733,255050
8600000US11735,11735,ZCTA5 11735,513135
8600000US11739,11739,ZCTA5 11739,12615
