GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US11956,11956,ZCTA5 11956,310,92,304,93,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11957,11957,ZCTA5 11957,706,128,697,128,2,6,7,12,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11958,11958,ZCTA5 11958,441,155,441,155,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11959,11959,ZCTA5 11959,856,222,813,208,23,38,0,11,11,17,0,11,0,11,9,17,0,11,9,17
8600000US11960,11960,ZCTA5 11960,597,162,597,162,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11961,11961,ZCTA5 11961,12164,827,10984,738,594,272,45,64,388,271,0,18,17,26,136,90,17,29,119,85
8600000US11962,11962,ZCTA5 11962,415,271,405,270,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11963,11963,ZCTA5 11963,6913,889,6271,828,362,207,0,16,137,107,0,16,105,123,38,30,18,27,20,20
8600000US11964,11964,ZCTA5 11964,2162,326,2077,324,0,11,0,11,0,11,0,11,46,21,39,55,0,11,39,55
8600000US11965,11965,ZCTA5 11965,650,326,640,327,2,4,0,11,8,7,0,11,0,11,0,11,0,11,0,11
8600000US11967,11967,ZCTA5 11967,26845,1535,21728,1463,2397,605,87,102,1191,568,0,21,626,285,816,569,674,559,142,86
8600000US11968,11968,ZCTA5 11968,10821,620,8875,627,852,329,146,86,533,294,0,18,356,289,59,47,7,12,52,45
8600000US11970,11970,ZCTA5 11970,284,265,284,265,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US11971,11971,ZCTA5 11971,6348,513,6210,519,3,8,0,16,68,59,0,16,47,72,20,32,0,16,20,32
8600000US11972,11972,ZCTA5 11972,1054,332,871,229,20,30,0,11,132,168,0,11,0,11,31,47,0,11,31,47
8600000US11973,11973,ZCTA5 11973,46,24,6,10,4,7,0,11,36,28,0,11,0,11,0,11,0,11,0,11
8600000US11975,11975,ZCTA5 11975,386,152,348,136,14,17,4,6,3,7,0,11,15,22,2,4,0,11,2,4
8600000US11976,11976,ZCTA5 11976,2350,515,2213,480,0,11,0,11,108,90,0,11,0,11,29,41,0,11,29,41
8600000US11977,11977,ZCTA5 11977,2456,367,2368,359,57,76,0,11,12,18,0,11,0,11,19,23,0,11,19,23
8600000US11978,11978,ZCTA5 11978,3124,292,2839,281,66,71,26,28,19,12,0,11,61,64,113,84,52,69,61,52
8600000US11980,11980,ZCTA5 11980,5273,512,4585,473,274,70,5,7,41,25,0,16,191,97,177,71,81,37,96,60
8600000US12007,12007,ZCTA5 12007,17,26,17,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12008,12008,ZCTA5 12008,606,212,548,189,0,11,0,11,58,94,0,11,0,11,0,11,0,11,0,11
8600000US12009,12009,ZCTA5 12009,7560,466,7184,435,99,94,15,28,89,74,4,6,26,22,143,103,8,12,135,103
8600000US12010,12010,ZCTA5 12010,28793,586,24279,726,794,231,62,60,144,81,23,29,2499,419,992,275,348,170,644,181
8600000US12015,12015,ZCTA5 12015,2823,389,2728,382,37,27,0,11,39,35,0,11,3,7,16,33,0,11,16,33
8600000US12017,12017,ZCTA5 12017,323,113,323,113,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12018,12018,ZCTA5 12018,7383,575,7290,570,0,16,0,16,73,87,0,16,0,16,20,32,0,16,20,32
8600000US12019,12019,ZCTA5 12019,14584,696,13616,752,204,127,0,18,317,170,15,24,0,18,432,192,32,37,400,183
8600000US12020,12020,ZCTA5 12020,32574,853,31208,930,296,174,130,125,370,228,0,24,65,45,505,170,7,11,498,170
8600000US12022,12022,ZCTA5 12022,860,153,849,149,0,11,0,11,0,11,0,11,0,11,11,17,0,11,11,17
8600000US12023,12023,ZCTA5 12023,2123,326,2076,326,10,15,0,11,21,33,0,11,0,11,16,16,0,11,16,16
8600000US12024,12024,ZCTA5 12024,92,97,92,97,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12025,12025,ZCTA5 12025,5271,362,5026,378,78,59,44,64,16,20,0,16,25,40,82,74,40,67,42,30
8600000US12027,12027,ZCTA5 12027,3762,311,3675,307,38,48,0,11,40,35,0,11,0,11,9,34,0,11,9,34
8600000US12028,12028,ZCTA5 12028,951,260,883,250,0,11,0,11,14,12,0,11,0,11,54,63,36,60,18,26
8600000US12029,12029,ZCTA5 12029,1122,205,1022,167,34,46,2,4,5,7,0,11,18,20,41,37,19,30,22,19
8600000US12031,12031,ZCTA5 12031,153,61,153,61,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12032,12032,ZCTA5 12032,824,154,803,157,0,11,9,13,0,11,0,11,0,11,12,12,0,11,12,12
8600000US12033,12033,ZCTA5 12033,8002,617,7720,623,82,56,3,5,34,29,0,16,55,86,108,66,9,14,99,67
8600000US12035,12035,ZCTA5 12035,859,245,838,239,0,11,0,11,0,11,0,11,0,11,21,23,0,11,21,23
8600000US12036,12036,ZCTA5 12036,196,55,191,54,0,11,0,11,5,9,0,11,0,11,0,11,0,11,0,11
8600000US12037,12037,ZCTA5 12037,4185,429,3897,413,110,112,0,11,41,38,0,11,38,50,99,70,27,41,72,57
8600000US12040,12040,ZCTA5 12040,146,99,146,99,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12041,12041,ZCTA5 12041,499,188,499,188,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12042,12042,ZCTA5 12042,179,77,179,77,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12043,12043,ZCTA5 12043,8444,253,7725,282,337,96,4,6,83,67,13,19,92,55,190,117,45,46,145,82
8600000US12045,12045,ZCTA5 12045,329,169,318,166,0,11,0,11,0,11,0,11,11,17,0,11,0,11,0,11
8600000US12046,12046,ZCTA5 12046,855,209,855,209,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12047,12047,ZCTA5 12047,19837,526,17646,600,635,242,68,57,335,180,0,18,274,197,879,283,0,18,879,283
8600000US12051,12051,ZCTA5 12051,6709,405,4997,406,1569,171,0,16,39,44,0,16,68,89,36,38,19,31,17,23
8600000US12052,12052,ZCTA5 12052,1524,233,1412,229,42,59,0,11,12,17,0,11,0,11,58,44,0,11,58,44
8600000US12053,12053,ZCTA5 12053,4559,640,4369,634,2,4,0,11,127,116,0,11,0,11,61,48,29,40,32,28
8600000US12054,12054,ZCTA5 12054,17318,675,15904,713,437,172,0,18,468,203,0,18,130,166,379,198,44,42,335,192
8600000US12056,12056,ZCTA5 12056,2471,451,2413,447,19,21,0,11,0,11,0,11,17,28,22,36,22,36,0,11
8600000US12057,12057,ZCTA5 12057,2056,324,2000,326,0,11,0,11,56,37,0,11,0,11,0,11,0,11,0,11
8600000US12058,12058,ZCTA5 12058,1956,394,1825,401,85,117,0,11,8,17,0,11,0,11,38,47,0,11,38,47
8600000US12059,12059,ZCTA5 12059,1658,260,1599,263,12,15,0,11,21,19,0,11,9,15,17,15,0,11,17,15
8600000US12060,12060,ZCTA5 12060,1373,212,1265,195,0,11,1,2,35,27,0,11,0,11,72,78,0,11,72,78
8600000US12061,12061,ZCTA5 12061,9929,762,8959,783,169,90,8,15,462,273,0,16,48,48,283,150,90,104,193,122
8600000US12062,12062,ZCTA5 12062,1701,321,1631,318,27,21,5,8,3,5,0,11,8,12,27,25,0,11,27,25
8600000US12063,12063,ZCTA5 12063,334,173,325,171,0,11,0,11,9,14,0,11,0,11,0,11,0,11,0,11
8600000US12064,12064,ZCTA5 12064,339,106,322,105,17,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12065,12065,ZCTA5 12065,42725,802,38335,910,940,240,74,74,2470,392,24,39,335,202,547,184,0,24,547,184
8600000US12066,12066,ZCTA5 12066,2094,386,2060,383,16,16,0,11,6,11,0,11,0,11,12,18,0,11,12,18
8600000US12067,12067,ZCTA5 12067,1594,336,1594,336,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12068,12068,ZCTA5 12068,2985,391,2729,401,22,18,0,11,73,59,0,11,123,141,38,43,0,11,38,43
8600000US12069,12069,ZCTA5 12069,174,134,174,134,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12070,12070,ZCTA5 12070,1683,387,1638,385,28,36,0,11,0,11,0,11,7,9,10,16,0,11,10,16
8600000US12071,12071,ZCTA5 12071,247,89,241,90,3,5,3,7,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12072,12072,ZCTA5 12072,2624,240,2492,241,41,25,6,10,22,27,0,11,10,12,53,32,7,10,46,30
8600000US12074,12074,ZCTA5 12074,2762,341,2655,336,0,11,0,11,0,11,0,11,0,11,107,109,77,108,30,24
8600000US12075,12075,ZCTA5 12075,3155,416,2933,404,211,160,0,11,6,10,0,11,0,11,5,8,0,11,5,8
8600000US12076,12076,ZCTA5 12076,1568,189,1546,189,1,2,0,11,0,11,0,11,6,8,15,19,0,11,15,19
8600000US12077,12077,ZCTA5 12077,6450,566,5557,602,215,165,0,16,537,206,0,16,0,16,141,145,0,16,141,145
8600000US12078,12078,ZCTA5 12078,23737,481,22469,549,389,146,47,40,115,69,9,15,240,145,468,180,18,31,450,177
8600000US12083,12083,ZCTA5 12083,3594,399,3559,397,26,20,0,11,9,16,0,11,0,11,0,11,0,11,0,11
8600000US12084,12084,ZCTA5 12084,4834,466,3216,444,276,151,14,21,1064,280,0,11,116,122,148,137,72,83,76,111
8600000US12085,12085,ZCTA5 12085,601,205,522,189,15,26,0,11,0,11,0,11,53,73,11,19,0,11,11,19
8600000US12086,12086,ZCTA5 12086,1723,339,1683,335,15,17,9,16,0,11,0,11,6,9,10,14,0,11,10,14
8600000US12087,12087,ZCTA5 12087,1019,247,1002,247,17,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12089,12089,ZCTA5 12089,125,86,125,86,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12090,12090,ZCTA5 12090,6273,249,6150,268,33,48,7,13,0,16,0,16,11,17,72,50,30,31,42,38
8600000US12092,12092,ZCTA5 12092,735,216,706,211,0,11,0,11,0,11,0,11,0,11,29,28,0,11,29,28
8600000US12093,12093,ZCTA5 12093,1752,237,1697,232,7,7,3,5,7,10,0,11,0,11,38,28,0,11,38,28
8600000US12094,12094,ZCTA5 12094,2656,496,2656,496,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12095,12095,ZCTA5 12095,12351,599,11491,590,347,200,2,5,177,107,0,18,115,71,219,113,6,14,213,114
