GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
8600000US13489,13489,ZCTA5 13489,171,18,3,4,34
8600000US13490,13490,ZCTA5 13490,613,67,0,0,85
8600000US13491,13491,ZCTA5 13491,1218,142,13,69,125
8600000US13492,13492,ZCTA5 13492,5020,222,3,61,316
8600000US13493,13493,ZCTA5 13493,635,95,0,6,20
8600000US13494,13494,ZCTA5 13494,67,6,0,7,27
8600000US13495,13495,ZCTA5 13495,691,145,11,0,41
8600000US13501,13501,ZCTA5 13501,10499,1931,423,944,585
8600000US13502,13502,ZCTA5 13502,10855,1250,425,612,454
8600000US13601,13601,ZCTA5 13601,13663,2092,156,669,482
8600000US13602,13602,ZCTA5 13602,481,360,0,2013,854
8600000US13603,13603,ZCTA5 13603,3407,362,0,102,109
8600000US13605,13605,ZCTA5 13605,1644,205,0,43,104
8600000US13606,13606,ZCTA5 13606,1209,95,0,18,56
8600000US13607,13607,ZCTA5 13607,468,101,0,79,26
8600000US13608,13608,ZCTA5 13608,476,73,1,5,33
8600000US13612,13612,ZCTA5 13612,869,76,0,0,8
8600000US13613,13613,ZCTA5 13613,1048,84,0,22,83
8600000US13614,13614,ZCTA5 13614,58,8,0,0,10
8600000US13615,13615,ZCTA5 13615,376,56,2,17,29
8600000US13616,13616,ZCTA5 13616,865,95,0,8,43
8600000US13617,13617,ZCTA5 13617,2831,237,96,708,290
8600000US13618,13618,ZCTA5 13618,548,58,0,42,45
8600000US13619,13619,ZCTA5 13619,3858,396,8,71,249
8600000US13620,13620,ZCTA5 13620,539,65,0,16,38
8600000US13621,13621,ZCTA5 13621,135,12,0,0,14
8600000US13622,13622,ZCTA5 13622,874,142,2,51,57
8600000US13623,13623,ZCTA5 13623,6,0,0,0,0
8600000US13624,13624,ZCTA5 13624,1899,135,0,120,99
8600000US13625,13625,ZCTA5 13625,657,52,0,3,55
8600000US13626,13626,ZCTA5 13626,979,96,5,34,42
8600000US13628,13628,ZCTA5 13628,54,6,0,0,2
8600000US13630,13630,ZCTA5 13630,436,69,0,0,13
8600000US13633,13633,ZCTA5 13633,121,8,0,11,14
8600000US13634,13634,ZCTA5 13634,1426,259,0,23,34
8600000US13635,13635,ZCTA5 13635,303,52,4,16,24
8600000US13636,13636,ZCTA5 13636,104,16,0,0,10
8600000US13637,13637,ZCTA5 13637,2113,74,1,30,99
8600000US13638,13638,ZCTA5 13638,165,0,0,8,0
8600000US13639,13639,ZCTA5 13639,69,24,0,11,9
8600000US13640,13640,ZCTA5 13640,78,11,0,0,21
8600000US13641,13641,ZCTA5 13641,15,0,0,0,0
8600000US13642,13642,ZCTA5 13642,2756,483,2,30,163
8600000US13643,13643,ZCTA5 13643,0,0,0,0,0
8600000US13646,13646,ZCTA5 13646,638,75,2,52,68
8600000US13647,13647,ZCTA5 13647,6,0,0,0,0
